Value, Filtered Value, Time
0, 0, 4.581701
0, 0, 4.586042
0, 0, 4.590117
0, 0, 4.59409
0, 0, 4.597456
0, 0, 4.602611
0, 0, 4.609272
0, 0, 4.612713
0, 0, 4.617032
0, 0, 4.620302
0, 0, 4.626727
0, 0, 4.633146
0, 0, 4.637888
0, 0, 4.643057
0, 0, 4.646661
0, 0, 4.650661
0, 0, 4.653934
0, 0, 4.65749
0, 0, 4.66123
0, 0, 4.665482
0, 0, 4.668824
0, 0, 4.672021
0, 0, 4.67533
0, 0, 4.678534
0, 0, 4.681772
0, 0, 4.685215
0, 0, 4.69709
0, 0, 4.701441
0, 0, 4.706779
0, 0, 4.710087
0, 0, 4.713527
0, 0, 4.719077
0, 0, 4.724526
0, 0, 4.728784
0, 0, 4.732582
0, 0, 4.735956
0, 0, 4.740457
0, 0, 4.744022
0, 0, 4.747445
